County GEOID,County/City,Population,Neighbor Names,Neighbor GEOIDs,District
51137,Orange County,38574,"['Albemarle County', 'Culpeper County', 'Greene County', 'Louisa County', 'Madison County', 'Spotsylvania County']","[51003, 51047, 51079, 51109, 51113, 51177]",11
51139,Page County,23741,"['Greene County', 'Madison County', 'Rappahannock County', 'Rockingham County', 'Shenandoah County', 'Warren County']","[51079, 51113, 51157, 51165, 51171, 51187]",6
51141,Patrick County,17509,"['Carroll County', 'Floyd County', 'Franklin County', 'Henry County']","[51035, 51063, 51067, 51089]",10
51143,Pittsylvania County,59571,"['Bedford County', 'Campbell County', 'Franklin County', 'Halifax County', 'Henry County', 'Danville city']","[51019, 51031, 51067, 51083, 51089, 51590]",11
51145,Powhatan County,32105,"['Amelia County', 'Chesterfield County', 'Cumberland County', 'Goochland County', 'Henrico County']","[51007, 51041, 51049, 51075, 51087]",3
51147,Prince Edward County,22049,"['Amelia County', 'Appomattox County', 'Buckingham County', 'Charlotte County', 'Cumberland County', 'Lunenburg County', 'Nottoway County']","[51007, 51011, 51029, 51037, 51049, 51111, 51135]",1
51149,Prince George County,42871,"['Charles City County', 'Chesterfield County', 'Dinwiddie County', 'Surry County', 'Sussex County', 'Hopewell city', 'Petersburg city']","[51036, 51041, 51053, 51181, 51183, 51670, 51730]",4
51153,Prince William County,489640,"['Fairfax County', 'Fauquier County', 'Loudoun County', 'Stafford County', 'Manassas city', 'Manassas Park city']","[51059, 51061, 51107, 51179, 51683, 51685]",1
51155,Pulaski County,33655,"['Bland County', 'Carroll County', 'Floyd County', 'Giles County', 'Montgomery County', 'Wythe County', 'Radford city']","[51021, 51035, 51063, 51071, 51121, 51197, 51750]",5
51157,Rappahannock County,7414,"['Culpeper County', 'Fauquier County', 'Madison County', 'Page County', 'Warren County']","[51047, 51061, 51113, 51139, 51187]",1
51159,Richmond County,9184,"['Essex County', 'Lancaster County', 'Middlesex County', 'Northumberland County', 'Westmoreland County']","[51057, 51103, 51119, 51133, 51193]",9
51161,Roanoke County,97026,"['Bedford County', 'Botetourt County', 'Craig County', 'Floyd County', 'Franklin County', 'Montgomery County', 'Roanoke city', 'Salem city']","[51019, 51023, 51045, 51063, 51067, 51121, 51770, 51775]",6
51163,Rockbridge County,22358,"['Alleghany County', 'Amherst County', 'Augusta County', 'Bath County', 'Bedford County', 'Botetourt County', 'Nelson County', 'Buena Vista city', 'Lexington city']","[51005, 51009, 51015, 51017, 51019, 51023, 51125, 51530, 51678]",11
51165,Rockingham County,86568,"['Albemarle County', 'Augusta County', 'Greene County', 'Page County', 'Shenandoah County', 'Harrisonburg city']","[51003, 51015, 51079, 51139, 51171, 51660]",1
51167,Russell County,25477,"['Buchanan County', 'Dickenson County', 'Scott County', 'Smyth County', 'Tazewell County', 'Washington County', 'Wise County']","[51027, 51051, 51169, 51173, 51185, 51191, 51195]",10
51169,Scott County,21433,"['Lee County', 'Russell County', 'Washington County', 'Wise County']","[51105, 51167, 51191, 51195]",1
51171,Shenandoah County,45228,"['Frederick County', 'Page County', 'Rockingham County', 'Warren County']","[51069, 51139, 51165, 51187]",8
